old_url,path,category,action,destination
https://www.lucasanna.eu/,/,PERSONA,KEEP,/
https://www.lucasanna.eu/5-motivi-scegliere-agenzia-web/,/5-motivi-scegliere-agenzia-web/,ALTRO,REVIEW,
https://www.lucasanna.eu/chi-sono-luca-sanna/,/chi-sono-luca-sanna/,PERSONA,KEEP,/metodo/
https://www.lucasanna.eu/creazione-siti-web-ecommerce/,/creazione-siti-web-ecommerce/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/creazione-siti-web-sassari-sardegna/,/creazione-siti-web-sassari-sardegna/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/grafica-sassari-design-unico-per-il-successo/,/grafica-sassari-design-unico-per-il-successo/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/grafica-webdesign-sassari/,/grafica-webdesign-sassari/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/grazie/,/grazie/,ALTRO,REVIEW,
https://www.lucasanna.eu/portfolio-category/e-commerce/,/portfolio-category/e-commerce/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-category/grafica/,/portfolio-category/grafica/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/portfolio-category/logo-design/,/portfolio-category/logo-design/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-category/web-design/,/portfolio-category/web-design/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/abbigliamento-donna/,/portfolio-tag/abbigliamento-donna/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/arte/,/portfolio-tag/arte/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/blog/,/portfolio-tag/blog/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/chiaroveggenza/,/portfolio-tag/chiaroveggenza/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/counselor/,/portfolio-tag/counselor/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/dentista/,/portfolio-tag/dentista/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/eventi/,/portfolio-tag/eventi/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/hemp/,/portfolio-tag/hemp/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/immobiliare/,/portfolio-tag/immobiliare/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/musica/,/portfolio-tag/musica/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/natura/,/portfolio-tag/natura/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/psicologa/,/portfolio-tag/psicologa/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/ristorante/,/portfolio-tag/ristorante/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio-tag/sport/,/portfolio-tag/sport/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/abacos-womens-clothing-ecommerce/,/portfolio/abacos-womens-clothing-ecommerce/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/portfolio/asd-sandalyon-sassari/,/portfolio/asd-sandalyon-sassari/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/canapalandia/,/portfolio/canapalandia/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/cd-cover-the-temponauts/,/portfolio/cd-cover-the-temponauts/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/dentista-digitale/,/portfolio/dentista-digitale/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/even-flow-band-web-site/,/portfolio/even-flow-band-web-site/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/le-case-immobiliare/,/portfolio/le-case-immobiliare/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/logo-canaplandia/,/portfolio/logo-canaplandia/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/logo-top-wild/,/portfolio/logo-top-wild/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/luca-sanna-artista-contemporaneo/,/portfolio/luca-sanna-artista-contemporaneo/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/marcella-masia-artista/,/portfolio/marcella-masia-artista/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/noi-e-biasi/,/portfolio/noi-e-biasi/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/noi-e-dessy/,/portfolio/noi-e-dessy/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/patrizia-sabbadin-counselor-sassari/,/portfolio/patrizia-sabbadin-counselor-sassari/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/premio-arte/,/portfolio/premio-arte/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/realizzazione-logo-premio-arte/,/portfolio/realizzazione-logo-premio-arte/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/sardegna-non-solo-eventi/,/portfolio/sardegna-non-solo-eventi/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/satollo-marlow/,/portfolio/satollo-marlow/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/soluzioni-digitali-intuitive-per-la-chiaroveggenza-estrella-yoruba-tarot/,/portfolio/soluzioni-digitali-intuitive-per-la-chiaroveggenza-estrella-yoruba-tarot/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/top-wild-viaggi-avventurosi-per-giovani-backpackers/,/portfolio/top-wild-viaggi-avventurosi-per-giovani-backpackers/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/valeriachelo-psicologa-sassari/,/portfolio/valeriachelo-psicologa-sassari/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/privacy-policy/,/privacy-policy/,UTILITY,KEEP,/privacy-policy/
https://www.lucasanna.eu/realizzazione-siti-web-sardegna/,/realizzazione-siti-web-sardegna/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/servizi/,/servizi/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/web-design-reponsive/,/web-design-reponsive/,ALTRO,REVIEW,